# ,,,,,,,,,,
# 06/25/2024 20:04:39,,,,,,,,,,
# The parameters defined in the project are:,,,,,,,,,,
# ,P17 - CannardAngle1 [degree],P18 - CannardAngle2 [degree],P19 - AttackAngle [degree],P20 - SideSlipAngle [degree],P21 - f-x-op [N],P22 - f-y-op [N],P23 - f-z-op [N],P24 - t-x-op [J],P25 - t-y-op [J],P26 - t-z-op [J]
# ,,,,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,,,,
Name,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
DP 68,0,0,5,4,"-32,693568","-13,480843","-15,996671","-9,045477","10,178795","-0,10542351"
DP 69,0,0,8,4,,,,,,
DP 70,0,0,10,4,"-63,873578","-12,637253","-23,715742","-8,3645325","22,298204","0,027310793"
DP 71,0,0,15,4,"-84,019003","-14,840549","-36,281522","-9,3406842","28,703825","-0,56161111"
DP 72,0,0,20,4,"-96,579531","-7,1564698","-51,464837","-6,8260438","35,094583","-0,059063625"
DP 73,0,0,25,4,"-114,38982","-7,6000938","-70,830099","-7,5513074","42,747634","-0,53342275"
DP 74,0,0,0,5,"0,030564727","-19,772683","-14,022645","-13,900397","-0,021293294","-0,0021688761"
DP 75,0,0,1,5,"-5,9481347","-18,400178","-14,195921","-12,744975","1,7689922","-0,068386468"
DP 76,0,0,2,5,"-12,579205","-18,136275","-14,520022","-12,463535","4,0437753","-0,077395792"
DP 77,0,0,3,5,"-19,670534","-17,470244","-15,17745","-11,858391","6,5280173","-0,058987426"
DP 78,0,0,5,5,"-32,465686","-17,11329","-16,598622","-11,500571","10,172359","-0,15447168"
DP 79,0,0,8,5,"-52,847777","-16,07981","-20,696668","-10,776107","17,483491","-0,055761312"
DP 80,0,0,10,5,"-63,281982","-16,394031","-24,221741","-10,998181","21,854051","-0,077803013"
DP 81,0,0,15,5,"-88,757867","-14,179349","-37,198626","-10,198706","29,929466","-0,32363358"
DP 82,0,0,20,5,"-99,487461","-6,4118196","-52,465015","-8,4659602","35,873285","0,1452594"
DP 85,0,0,1,6,"-6,3780726","-21,532765","-14,854065","-14,801034","2,2214274","-0,03045499"
DP 87,0,0,3,6,"-19,563196","-20,256866","-15,709998","-13,623482","6,5881709","-0,044245638"
DP 89,0,0,8,6,"-53,221662","-19,241905","-21,359461","-12,87981","17,815142","0,02106211"
DP 93,0,0,25,6,"-113,88075","-13,716327","-71,830896","-11,398753","42,438692","-0,8880992"
DP 94,0,0,0,7,"0,73255042","-26,148491","-15,745619","-18,104186","-0,63153632","-0,073119226"
DP 95,0,0,1,7,"-5,9984544","-25,848304","-15,907071","-17,81507","2,0133359","-0,078293345"
DP 96,0,0,2,7,"-12,184065","-25,392597","-16,14338","-17,350867","3,9939446","-0,1398643"
DP 97,0,0,3,7,,,,,,
DP 98,0,0,5,7,"-34,580682","-24,374631","-18,342677","-16,346633","12,288682","0,018586931"
DP 99,0,0,8,7,"-52,443961","-23,930109","-22,309554","-15,937966","17,580715","-0,15817368"
DP 100,0,0,10,7,"-62,911722","-24,227446","-25,749189","-16,200793","21,538472","-0,24156517"
DP 101,0,0,15,7,"-85,09469","-31,935362","-39,963589","-19,390659","30,291283","-1,5034411"
DP 102,0,0,20,7,"-101,09933","-14,022024","-53,686676","-13,030652","36,745993","-0,087498976"
DP 103,0,0,25,7,"-114,44032","-16,669692","-72,745875","-13,213248","43,148556","-0,85760166"
