# 
# 07/24/2024 13:00:25
# The parameters defined in the project are:
# ,P1 - C1 [degree],P2 - C2 [degree],P3 - C3 [degree],P4 - C4 [degree],P5 - W1 [degree],P6 - W2 [degree],P13 - velocity [m s^-1],P7 - fx-op [N],P8 - fy-op [N],P9 - fz-op [N],P10 - tx-op [J],P11 - ty-op [J],P12 - tz-op [J]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P13,P7,P8,P9,P10,P11,P12
DP 119,-3.72974413313477,-2.31078120599181,0.1,0.1,0.1,0.1,102,2.0521503,-0.95762069,33.204392,0.35873055,1.4308443,-0.018768599
DP 120,3.15781668142742,12.3025109429788,0.1,0.1,0.1,0.1,102,0.43524156,-1.3399942,34.20072,-0.00039279015,3.747703,0.080459457
DP 121,-6.13493500395458,12.5163683781591,0.1,0.1,0.1,0.1,102,-0.22162868,-1.7850606,34.824326,0.35001045,7.8315378,0.008918628
DP 122,3.54229742407649,2.95256292161163,0.1,0.1,0.1,0.1,102,2.4520097,-1.9133772,33.419312,0.67059754,0.9557738,0.060551244
DP 123,5.77833201359901,-16.121356514201,0.1,0.1,0.1,0.1,102,2.7370464,-2.5225484,36.034994,0.6339164,-7.805833,-0.0068990899
DP 124,10.3647749926703,4.17678358953024,0.1,0.1,0.1,0.1,102,2.8354847,0.65708052,34.26878,-0.60289583,-1.3234201,0.11035087
DP 125,-6.94765880628069,3.20831853752163,0.1,0.1,0.1,0.1,102,0.56628499,0.011652682,33.864698,-0.23074366,4.9028802,-0.024468249
DP 126,-8.75809387037998,8.64257971146193,0.1,0.1,0.1,0.1,102,1.0028284,-1.6165349,35.029519,0.44108939,8.2067259,0.0061493382
DP 127,2.35280444273012,11.0182310300043,0.1,0.1,0.1,0.1,102,1.633956,-1.7917133,34.274992,0.085238912,4.3634339,0.082858764
DP 128,4.52256332649528,2.92972025891533,0.1,0.1,0.1,0.1,102,3.0579356,0.34304053,33.909658,-0.54107099,0.82537298,0.067800701
DP 129,8.97812451078522,0.00328189568826787,0.1,0.1,0.1,0.1,102,2.2728788,0.51772335,34.235448,-0.42432163,-3.0039425,0.07528187
DP 130,11.5279153053384,-0.431860997352956,0.1,0.1,0.1,0.1,102,2.2273439,0.68134866,34.163277,-0.44683871,-4.3293867,0.072659707
DP 131,-5.30465863998238,-13.9743195736051,0.1,0.1,0.1,0.1,102,0.65835457,-2.47762,35.363806,0.7383527,-2.6561463,-0.11801833
DP 132,-2.21876174983005,-3.27003371706697,0.1,0.1,0.1,0.1,102,2.9826256,-0.26084537,33.794111,-0.12787246,0.88623942,-0.033844675
DP 133,-3.0750608624442,-4.80163140251242,0.1,0.1,0.1,0.1,102,1.8879011,0.48288486,33.934561,-0.83168035,0.076247742,-0.050887953
DP 134,-10.7259090261631,5.37388501198011,0.1,0.1,0.1,0.1,102,0.67240942,-0.23670497,34.780108,0.079899107,7.4010779,-0.040451103
DP 135,-5.31340704390064,-11.2649301533392,0.1,0.1,0.1,0.1,102,1.0519474,-1.5349649,34.494035,0.10838259,-2.1348727,-0.085027994
DP 136,13.9871731659957,6.42025625101829,0.1,0.1,0.1,0.1,102,3.6733658,-1.8362126,35.039363,1.0223764,-0.94089161,0.1258425
DP 137,13.300000073525,-7.16977981529242,0.1,0.1,0.1,0.1,102,2.8846359,-0.76033333,35.19266,0.22413424,-7.3059603,0.031712217
DP 138,-0.966551032965867,3.35953517083901,0.1,0.1,0.1,0.1,102,2.1409057,-2.904819,33.736055,1.1415019,3.0979155,0.035419524
DP 139,-4.91468045602705,4.76415931694756,0.1,0.1,0.1,0.1,102,0.8942716,-0.27566515,33.734306,-0.26001856,4.9590907,-0.0042867014
DP 140,5.55433030105498,-11.7846690954073,0.1,0.1,0.1,0.1,102,4.7005741,-3.0179124,34.425497,1.0908317,-5.193552,-0.0097271411
DP 141,0.359426344401761,-0.228536341026775,0.1,0.1,0.1,0.1,102,1.3499245,-0.43556418,33.466751,-0.15691123,-0.078517914,0.011572545
DP 142,7.93683179556646,-0.166961303771743,0.1,0.1,0.1,0.1,102,2.1450352,-0.58078175,33.950453,0.0197968,-2.8980665,0.064284065
DP 143,4.68945878550061,-11.1067109699636,0.1,0.1,0.1,0.1,102,2.7759546,-1.9285944,34.424742,0.3196111,-5.9009351,-0.019270821
DP 144,10.1819543624852,-8.3575197976486,0.1,0.1,0.1,0.1,102,2.2014913,-0.87912005,34.946544,0.20498503,-7.5065279,0.025350207
DP 145,5.44480548100842,3.08121447672659,0.1,0.1,0.1,0.1,102,3.1670796,-0.91496921,33.644545,-0.026022654,0.56560694,0.075050039
DP 146,9.72864289589684,2.46862939182911,0.1,0.1,0.1,0.1,102,1.5078222,1.0121414,34.170243,-0.57432204,-2.6857058,0.094883206
DP 147,1.00348485954828,-2.75007485346556,0.1,0.1,0.1,0.1,102,3.0430497,-2.0901526,33.396723,0.64410489,-0.55270438,0.0020180604
DP 148,8.29757761577513,6.67928146677889,0.1,0.1,0.1,0.1,102,0.60915772,-2.0129359,34.107579,0.83444724,-0.54451114,0.10822803
DP 149,16.1402826907576,-16.8670172073494,0.1,0.1,0.1,0.1,102,3.5555932,-1.1329527,38.037545,0.10810443,-10.439094,0.014394965
DP 150,6.67825194699454,4.61901128737071,0.1,0.1,0.1,0.1,102,3.1751203,-2.6284412,33.929553,1.1600539,0.68689713,0.08663881
DP 151,-9.05894146607549,-12.0229164446108,0.1,0.1,0.1,0.1,102,2.8735591,-0.0042883442,35.129952,-0.57318034,0.23435727,-0.12463678
